# Lines starting with #' are comments. Comment lines must form a continuous 
# block at the beginning of this file. 
# The last comment line is not really a comment. It must contain the names of 
# the variables that are used in the code. 
# The data has to start in the following line.        
# 
# List of variables: 
# TS: timestep 
# OHair1: OH-readical conc. based factor to multiply with avg. degradation rate in upper air 
# OHair2: OH-readical conc. based factor to multiply with avg. degradation rate in lower air 
# Based on data from: 
# Spivakovsky, C. M., Logan J. A., Montzka S. A., Balkanski Y. J., Foreman-Fowler M., 
# Jones D. B. A., Horowitz L.W., Fusco A. C., Brenninkmeijer C. A. M., Prather M. J., 
# Wofsy S. C., McElroy M. B., 2000, Three-dimensional climatological distribution of 
# tropospheric OH: Update and evaluation. Journal of geophysical research, Vol. 105, 
# No. D7, pp 8931-8980. 
# 
# precip: monthly average precipitation [m/h] 
# stwet: average length of rain events [h] 
# stdry: average length of dry spells [h] 
# tair1: temperature upper air [K] 
# tair2: temperature lower air [K] 
# tocean: temperature ocean surface [K] 
# tland: temperature land surface [K] 
# h1: Average upper air compartment height [m] 
# h2: Average lower air compartment height [m] 
# h5: Average ocean compartment depth [m] 
# runoffwater: water runoff 
# tspe: time since plowing event [month] 
# perc8: percentage of ocean covered by Sea Ice [-] 
# 
#CELL TS OHair1 OHair2 precip stwet stdry tair1 tair2 tocean tland h1 h2 h5 mixing12 mixing21 runoff6water tspe perc8 
1 1 0.00127627173854852 0.00148470848174455 1.92740721558948e-05 16.9353009939194 69.675562953949 236.199193572998 250.22841796875 271.250259399414 -999.99 4996.46867675781 1088.44017333984 137.851022720337 2.0 11.03182527 0 2190 0.976120643615723
1 2 0.00162470529618128 0.00127790744810412 1.88464591337834e-05 14.6970456123352 51.3777811050415 235.592755126953 249.466864013672 271.25026550293 -999.99 4981.17932128906 1085.22497558594 144.327890396118 2.0 8.503471242 0 2920 0.978874542236328
1 3 0.0258885668493261 0.0146912105518909 1.82973147161647e-05 14.8548708438873 45.3738023757935 236.163907623291 249.932598876953 271.250262451172 -999.99 4999.96364746094 1087.19579467773 150.671575927734 2.0 14.21599496 0 3650 0.980017227172852
1 4 0.212757677297397 0.154714663733651 1.59170765527961e-05 11.8195280194283 59.1425060272217 240.251774597168 256.202522277832 271.250225830078 -999.99 5086.74194335938 1114.92142333984 142.859238815308 2.0 14.78611687 0 4380 0.979588729858399
1 5 0.679470271526618 0.705699978890164 1.75497113878009e-05 12.6379133462906 47.7854384899139 246.500783538818 265.411848449707 271.250088500977 -999.99 5208.707421875 1154.73553466797 119.259113693237 2.0 14.91440637 0 5110 0.97272220993042
1 6 1.06375307740523 0.661987321554568 3.07193520029614e-05 13.5357872962952 34.6394291877747 251.415240478516 272.039135742188 271.25005645752 -999.99 5301.94985351563 1184.02033691406 112.376369857788 2.0 17.35520677 0 5840 0.954738636016846
1 7 1.12405529339574 0.751171832536997 3.60913933491247e-05 15.5654765129089 18.6502789020538 253.296473693848 272.893911743164 271.250158691406 -999.99 5341.85737304688 1187.46486816406 106.999576950073 2.0 14.31983667 0 6570 0.896722923278809
1 8 0.57145506436518 0.321346722971243 4.07888195513806e-05 16.7785304546356 16.7545912027359 251.351091003418 270.308291625977 271.250242614746 -999.99 5302.74958496094 1175.69055175781 104.92173614502 2.0 14.12274205 0 7300 0.841995281219482
1 9 0.122173897724764 0.0897613015971664 3.56891926367098e-05 16.4167604207993 16.8007485866547 246.307550811768 264.214720153809 271.250346374512 -999.99 5203.86491699219 1148.59991455078 108.610400390625 2.0 11.771957767 0 8030 0.865470222473145
1 10 0.00369950569253359 0.00372250511358016 2.80110138373857e-05 14.9566514015198 35.7472366809845 241.247069549561 257.610023498535 271.25050201416 -999.99 5104.32561035156 1120.04435424805 114.68508605957 2.0 10.275566998 0 8760 0.942656185150146
1 11 0.00133700337672128 0.00165011747774428 2.40463923000789e-05 14.3834146261215 60.4603721618652 238.934767913818 254.045057678223 271.250350952148 -999.99 5057.13449707031 1104.6022644043 123.545878601074 2.0 14.50408059 0 730 0.964855937957764
1 12 0.00124918718327593 0.00163960837866972 2.02612534621949e-05 12.8997106552124 69.0204653739929 236.793823242188 250.665422821045 271.250312805176 -999.99 5015.12468261719 1090.14412231445 131.580337524414 2.0 11.054452035 0 1460 0.975464408874512
2 1 0.00127257451443067 0.00148294217540988 1.97569091096739e-05 14.8067818164825 63.640761756897 236.234883880615 250.202448272705 271.250299072266 -999.99 4997.49260253906 1088.21724853516 138.60368309021 2.595454679 2.997111148 0 2190 0.976472457885742
2 2 0.00161119146353162 0.0012487711064146 1.95997999526298e-05 15.4061743021011 54.5015493392944 235.611889648438 249.429122924805 271.250300598145 -999.99 4981.84250488281 1084.92381591797 145.407977676392 4.886203861 2.0 0 2920 0.978690235137939
2 3 0.0258878683679904 0.0147228513633607 1.86142299730818e-05 14.1744072675705 46.0665782928467 236.136917114258 249.811483001709 271.250286865234 -999.99 5000.00900878906 1086.56145019531 151.998313903809 2.0 5.085411115 0 3650 0.980671154022217
2 4 0.212546218088882 0.154297725240889 1.6366707582165e-05 12.0539485931396 68.5515522956848 240.284832000732 256.16033782959 271.250253295898 -999.99 5087.77026367188 1114.67748413086 144.697445297241 2.0 5.965820712 0 4380 0.980252983093262
2 5 0.679202596281453 0.707638955377689 1.77917341761713e-05 12.5664761066437 44.2633401870728 246.456317901611 265.331028747559 271.250091552734 -999.99 5208.13879394531 1154.28247680664 120.156142425537 2.0 10.262907243 0 5110 0.973340660095215
2 6 1.06428217781911 0.667303617327199 3.05211472095834e-05 13.5976152420044 37.6745658397675 251.390644836426 272.027398681641 271.25005645752 -999.99 5301.48000488281 1183.87155151367 112.354669570923 2.0 12.69622679 0 5840 0.95548872756958
2 7 1.12174402796053 0.753689345361329 3.60445748538041e-05 15.0800368309021 19.7259421348572 253.254595184326 272.893809509277 271.250158691406 -999.99 5341.11516113281 1187.44497680664 107.049391555786 2.0 12.21715665 0 6570 0.8975791015625
2 8 0.568568096303388 0.319782178039744 4.2100792607016e-05 17.8391268253326 17.4539893865585 251.303583526611 270.258346557617 271.250241088867 -999.99 5302.13696289062 1175.38778076172 105.034841918945 2.0 12.81390044 0 7300 0.841834159851074
2 9 0.121654923846439 0.0897844499809083 3.61715773033211e-05 16.4405827522278 17.4356314182281 246.283319854736 264.201731872559 271.250364685059 -999.99 5203.63452148438 1148.46900634766 109.086542892456 2.0 8.590086101 0 8030 0.864479850769043
2 10 0.00389969090054231 0.0038391630871923 2.88211822407902e-05 15.139980840683 36.9731110572815 241.264155578613 257.589231872559 271.250543212891 -999.99 5104.95051269531 1119.84033813477 115.192019271851 2.0 4.224099883 0 8760 0.9417346534729
2 11 0.00133433227516652 0.00164208946430474 2.44073197518446e-05 13.889570069313 62.638047504425 238.992280578613 254.063655090332 271.250396728516 -999.99 5058.63420410156 1104.53427734375 123.984803009033 2.0 9.144665997 0 730 0.964761371612549
2 12 0.00124933546918707 0.00163358495973986 2.05406782833961e-05 14.7417410135269 77.7074431419373 236.822058105469 250.618090820312 271.250355529785 -999.99 5016.25798339844 1089.90326538086 132.545991516113 2.0 4.907159202 0 1460 0.975404098510742
