#CELL TS OHair1 OHair2 precip stwet stdry tair1 tair2 perc8 tocean tland runoff6water tspe
1 1 0 0 2.28729630180169e-05 14.9439297536524 60.564820964162 236.779312133789 250.181655883789 0.974120330810547 271.250122070312 999 0 2190
1 2 0.00413531127671098 0.00344318650404165 1.12708701635711e-05 13.5842513514728 77.1799403399956 236.785110473633 250.429534912109 0.992160415649414 271.250305175781 999 0 2920
1 3 0.0249533040190734 0.0167352149703514 3.24048600305105e-05 13.2552952882720 73.4494375368444 236.715911865234 251.346343994141 0.970387649536133 271.25048828125 999 0 3650
1 4 0.161359233772203 0.0750784418416112 1.67705904459581e-05 11.9948249270276 101.113140245763 240.740493774414 256.224273681641 0.97839599609375 271.250122070312 999 0 4380
1 5 0.511695157054009 0.339159406317723 2.92673303192714e-05 10.4376826577070 55.4921941757202 246.687820434570 265.008361816406 0.962204818725586 271.250152587891 999 0 5110
1 6 1.11742473395393 0.851201465334626 5.03749630297534e-05 12.0794751702285 23.3638567226689 251.445693969727 271.510894775391 0.88165542602539 271.250030517578 999 0 5840
1 7 1.21184665067328 0.788618875050019 3.99431606638245e-05 13.5980793092309 15.3370245026379 253.407897949219 272.665405273438 0.860552291870117 271.250152587891 999 0 6570
1 8 0.599186415408315 0.355190705539113 5.36340008693514e-05 15.5537433740569 14.1271550480912 249.976119995117 269.024658203125 0.737954025268555 271.250366210938 999 0 7300
1 9 0.0809508646975129 0.0616393121812489 3.10049774270738e-05 14.8794879680727 17.2816258290919 244.105682373047 262.621734619141 0.76509765625 271.250274658203 999 0 8030
1 10 0.0120405796351703 0.00931453913048334 2.26249716433813e-05 12.3788361898283 33.1701161919571 242.617034912109 258.188507080078 0.960484237670898 271.25048828125 999 0 8760
1 11 0 0 1.99199890630553e-05 13.280259248687 82.4815639868015 239.661499023438 253.539291381836 0.981581344604492 271.250335693359 999 0 730
1 12 0 0 2.82289041933836e-05 13.2414958128115 56.7055906202735 235.929229736328 249.272827148438 0.976804656982422 271.250274658203 999 0 1460
2 1 0 0 2.10404497920535e-05 13.8121663942570 65.2820471786871 236.715866088867 250.009445190430 0.970752716064453 271.250244140625 999 0 2190
2 2 0.0042699941185813 0.0035636426749869 1.06602984487836e-05 13.7938596911547 70.3854465252016 236.498428344727 249.738540649414 0.988740844726563 271.250457763672 999 0 2920
2 3 0.0254253305676259 0.0168142643325342 3.47125682310434e-05 12.1960152416694 59.7819225497362 236.631607055664 251.153671264648 0.973736953735352 271.250518798828 999 0 3650
