#CELL TS OHair1 OHair2 precip stwet stdry tair1 tair2 perc8 tocean tland runoff6water tspe
1 1 0 0 1.74717088157195e-05 10.3024196624756 137.758071899414 237.140899658203 252.037551879883 0.981347045898437 271.250152587891 999 0 2190
1 2 0.00413531127671098 0.00344318650404165 9.34138470256585e-06 9.98046875 33.547794342041 236.605636596680 250.531814575195 0.993989181518555 271.250183105469 999 0 2920
1 3 0.0249533040190734 0.0167352149703514 1.73396365426015e-05 14.2271509170532 92.0910110473633 235.139816284180 248.462905883789 0.990212860107422 271.250213623047 999 0 3650
1 4 0.161359233772203 0.0750784418416112 9.95832715489087e-06 8.9348955154419 34.5318641662598 240.538986206055 255.870162963867 0.97598129272461 271.250427246094 999 0 4380
1 5 0.511695157054009 0.339159406317723 2.46906032771221e-05 2.94354844093323 88.6743927001953 247.24951171875 264.752136230469 0.974361190795898 271.250122070312 999 0 5110
1 6 1.11742473395393 0.851201465334626 2.7680459243129e-05 16.4249992370605 30.2265625 250.824600219727 271.056671142578 0.964184951782227 271.250061035156 999 0 5840
1 7 1.21184665067328 0.788618875050019 5.07027642015601e-05 15.6136045455933 16.1255264282227 252.248794555664 272.795928955078 0.88506118774414 271.250152587891 999 0 6570
1 8 0.599186415408315 0.355190705539113 5.05322219396476e-05 29.7453308105469 9.15770626068115 249.536102294922 268.777008056641 0.814834594726562 271.250213623047 999 0 7300
1 9 0.0809508646975129 0.0616393121812489 5.18950080731884e-05 8.83984375 13.97265625 245.910659790039 264.082397460938 0.810883712768555 271.250244140625 999 0 8030
1 10 0.0120405796351703 0.00931453913048334 3.80256922653643e-05 15.1102151870728 31.4591732025146 241.650497436523 258.134185791016 0.89512939453125 271.250305175781 999 0 8760
1 11 0 0 2.91588403342757e-05 12.1666669845581 235.222229003906 241.220413208008 255.883987426758 0.95331443786621 271.250183105469 999 0 730
1 12 0 0 1.49489671457559e-05 6.47580623626709 116.270164489746 235.620803833008 248.345428466797 0.97599510192871 271.250183105469 999 0 1460
2 1 0 0 1.91806102520786e-05 5.46658992767334 86.4667358398438 237.050262451172 251.153762817383 0.977339553833008 271.250244140625 999 0 2190
2 2 0.0042699941185813 0.0035636426749869 1.18644054964534e-05 12.7098217010498 54.809253692627 236.797927856445 251.201568603516 0.989490280151367 271.250396728516 999 0 2920
2 3 0.0254253305676259 0.0168142643325342 1.13335052446928e-05 2.94354844093323 363.528228759766 235.572692871094 248.584182739258 0.987356338500977 271.250305175781 999 0 3650
2 4 0.163944391485044 0.0762003375513955 1.46318627230357e-05 7.25320529937744 45.4077377319336 240.955749511719 256.195587158203 0.975111694335937 271.250549316406 999 0 4380
2 5 0.518005820421546 0.344702456831196 2.57764346315525e-05 3.59767031669617 69.7621002197266 246.846603393555 264.419586181641 0.972338562011719 271.250213623047 999 0 5110
2 6 1.12560091798362 0.876850067910285 2.91808592010057e-05 19.2005214691162 24.8700981140137 250.203262329102 270.266082763672 0.96287452697754 271.250061035156 999 0 5840
2 7 1.21158093853149 0.803587325704245 5.76932223339099e-05 14.3781013488770 13.6988210678101 251.855239868164 272.261199951172 0.883443908691406 271.250122070312 999 0 6570
