#CELL TS OHair1 OHair2 precip stwet stdry tair1 tair2 perc8 tocean tland runoff6water tspe
1 1 0 0 1.54750559886452e-05 27.3329486846924 23.1559143066406 236.224639892578 249.689239501953 0.980315856933594 271.250244140625 999 0 2190
1 2 0.00413531127671098 0.00344318650404165 4.07160932809347e-05 12.546875 22.8125 236.149887084961 249.113876342773 0.971981582641602 271.250305175781 999 0 2920
1 3 0.0249533040190734 0.0167352149703514 1.67212681844831e-05 15.0448026657104 11.9922342300415 239.733047485352 254.417556762695 0.978683624267578 271.250213623047 999 0 3650
1 4 0.161359233772203 0.0750784418416112 2.25803789362544e-05 17.1293869018555 21.2916660308838 239.696609497070 254.211303710938 0.964513473510742 271.250305175781 999 0 4380
1 5 0.511695157054009 0.339159406317723 1.57180214955588e-05 10.9331798553467 23.8287258148193 248.266769409180 267.2978515625 0.968754119873047 271.250091552734 999 0 5110
1 6 1.11742473395393 0.851201465334626 2.27454238483915e-05 6.44117641448975 36.5 250.872192382812 272.458251953125 0.94892677307129 271.250061035156 999 0 5840
1 7 1.21184665067328 0.788618875050019 3.63289364031516e-05 10.7503509521484 20.9887790679932 252.758941650391 271.979888916016 0.897381057739258 271.250152587891 999 0 6570
1 8 0.599186415408315 0.355190705539113 5.69526877370663e-05 24.9335861206055 18.0075893402100 252.345886230469 270.477172851562 0.816267395019531 271.250305175781 999 0 7300
1 9 0.0809508646975129 0.0616393121812489 4.88362027681433e-05 14.7738094329834 10.9080457687378 246.990524291992 264.513702392578 0.827467575073242 271.250396728516 999 0 8030
1 10 0.0120405796351703 0.00931453913048334 3.69265038898448e-05 19.9122390747070 21.7495517730713 242.935775756836 259.8642578125 0.915447158813477 271.250305175781 999 0 8760
1 11 0 0 2.82638069620589e-05 36.5 19.6538467407227 240.589828491211 256.009704589844 0.955166015625 271.250335693359 999 0 730
1 12 0 0 2.18011549804942e-05 30.9072589874268 10.2158441543579 235.984054565430 249.559463500977 0.983656005859375 271.250183105469 999 0 1460
2 1 0 0 2.11832531931577e-05 13.5403223037720 35.1263427734375 236.207077026367 249.885879516602 0.980819854736328 271.250274658203 999 0 2190
2 2 0.0042699941185813 0.0035636426749869 3.48898127413122e-05 10.1388893127441 28.8157901763916 236.618331909180 249.246475219727 0.97542091369629 271.250335693359 999 0 2920
2 3 0.0254253305676259 0.0168142643325342 1.73440157595905e-05 20.1400680541992 18.2809848785400 239.044876098633 253.138732910156 0.972452087402344 271.250396728516 999 0 3650
2 4 0.163944391485044 0.0762003375513955 2.24004070332740e-05 13.2872810363770 25.1337718963623 239.799163818359 254.222869873047 0.967046356201172 271.250427246094 999 0 4380
2 5 0.518005820421546 0.344702456831196 1.47770808325731e-05 12.1421375274658 31.5132827758789 248.160232543945 267.250152587891 0.965513000488281 271.250183105469 999 0 5110
2 6 1.12560091798362 0.876850067910285 2.21067277379916e-05 5.88055562973022 40.1119804382324 250.593902587891 272.102935791016 0.944038619995117 271.250061035156 999 0 5840
2 7 1.21158093853149 0.803587325704245 4.39922649093205e-05 9.91511058807373 27.0806446075439 252.806671142578 272.335083007812 0.885296630859375 271.250152587891 999 0 6570
2 8 0.595250554308036 0.356408552855655 5.92067844991107e-05 15.862455368042 23.3934631347656 252.194259643555 270.346282958984 0.796221618652344 271.250305175781 999 0 7300
2 9 0.0814031289055197 0.0588493346924435 6.80101074976847e-05 8.5362901687622 14.54296875 247.497970581055 265.131958007812 0.794276123046875 271.250457763672 999 0 8030
2 10 0.0122141228777776 0.00955722288665245 3.38941408699611e-05 8.01299285888672 30.8297958374023 243.368606567383 260.353149414062 0.895523071289062 271.250579833984 999 0 8760
2 11 0 0 2.88535426079761e-05 13.6875 43.519229888916 241.052490234375 256.647155761719 0.938501663208008 271.250549316406 999 0 730
2 12 0 0 1.64180773936096e-05 8.73569202423096 14.3497982025146 236.781890869141 251.010665893555 0.980652236938477 271.250335693359 999 0 1460
3 1 0 0 2.39891918681678e-05 14.1825513839722 52.1810836791992 236.245437622070 250.353958129883 0.982090301513672 271.250305175781 999 0 2190
3 2 0.00430138136533036 0.00355434275002422 2.45217979681911e-05 9.98046875 33.547794342041 236.737884521484 249.164520263672 0.980549545288086 271.250335693359 999 0 2920
3 3 0.0256374020707928 0.0167212650829073 1.60647310622153e-05 30.6129035949707 38.5337257385254 238.183761596680 251.964553833008 0.96845962524414 271.250579833984 999 0 3650
