#CELL TS OHair1 OHair2 precip stwet stdry tair1 tair2 perc8 tocean tland runoff6water tspe
1 1 0 0 1.16603307105834e-05 14.8468620300293 63.0689064025879 243.752182006836 260.714599609375 0.99610336303711 271.250152587891 999 0 2190
1 2 0.00413531127671098 0.00344318650404165 1.63908411195735e-05 16.2577311635017 89.113590335846 236.067260742188 251.648056030273 0.988860626220703 271.250244140625 999 0 2920
1 3 0.0249533040190734 0.0167352149703514 2.71324988716515e-05 12.9923992276192 50.2544114112854 239.608062744141 254.94873046875 0.980478820800781 271.250122070312 999 0 3650
1 4 0.161359233772203 0.0750784418416112 1.63902665008209e-05 13.3333934187889 76.7938797950745 245.557754516602 261.375274658203 0.99112434387207 271.250091552734 999 0 4380
1 5 0.511695157054009 0.339159406317723 2.41700494370889e-05 10.9424181699753 37.2672213077545 248.873077392578 268.140502929688 0.990126724243164 271.250030517578 999 0 5110
1 6 1.11742473395393 0.851201465334626 3.04974630125798e-05 12.0063642263412 20.5912427186966 254.256607055664 275.510284423828 0.943543243408203 271.250061035156 999 0 5840
1 7 1.21184665067328 0.788618875050019 5.10934918565908e-05 14.1920199394226 14.8649736404419 258.055755615234 277.241333007812 0.792113723754883 271.250518798828 999 0 6570
1 8 0.599186415408315 0.355190705539113 7.08102459611837e-05 17.4481560707092 15.9209528207779 253.722305297852 272.217864990234 0.547286415100098 271.364471435547 999 0 7300
1 9 0.0809508646975129 0.0616393121812489 3.32939638610696e-05 15.5993737697601 14.3273110151291 247.503631591797 266.864135742188 0.577284698486328 271.454254150391 999 0 8030
1 10 0.0120405796351703 0.00931453913048334 4.09949749155203e-05 13.9580391407013 31.6330024719238 248.110931396484 265.449157714844 0.739451751708984 271.326995849609 999 0 8760
1 11 0 0 2.92886026727501e-05 13.6221613407135 51.0998189926147 240.943862915039 257.981536865234 0.94102684020996 271.250762939453 999 0 730
1 12 0 0 3.86059688025853e-05 13.5151733636856 55.3315108776093 241.369674682617 255.394836425781 0.97582015991211 271.250213623047 999 0 1460
2 1 0 0 1.17792399578320e-05 14.6818506717682 64.651487827301 242.994506835938 259.380004882812 0.99365577697754 271.250183105469 999 0 2190
2 2 0.0042699941185813 0.0035636426749869 1.83042397111421e-05 14.4763659238815 60.2329040050507 235.889053344727 250.873001098633 0.98461769104004 271.250213623047 999 0 2920
2 3 0.0254253305676259 0.0168142643325342 2.48282596658100e-05 12.7044592857361 46.787596988678 240.037979125977 255.306945800781 0.984314346313477 271.250122070312 999 0 3650
2 4 0.163944391485044 0.0762003375513955 7.65451277402463e-06 15.1124269962311 91.8692206382752 245.291732788086 261.051452636719 0.988639450073242 271.250091552734 999 0 4380
2 5 0.518005820421546 0.344702456831196 2.47698531893548e-05 9.78418451547623 33.5086967468262 248.742004394531 267.912994384766 0.98110221862793 271.250061035156 999 0 5110
2 6 1.12560091798362 0.876850067910285 2.91629068669863e-05 12.4320477724075 21.6074025392532 254.534896850586 276.31201171875 0.944650421142578 271.250061035156 999 0 5840
2 7 1.21158093853149 0.803587325704245 4.62651030829875e-05 15.4237208366394 16.8415175914764 258.643585205078 277.805541992188 0.804627990722656 271.251403808594 999 0 6570
2 8 0.595250554308036 0.356408552855655 5.48689335118979e-05 16.5790516853333 15.301633143425 254.284759521484 273.309600830078 0.588446311950684 271.398345947266 999 0 7300
2 9 0.0814031289055197 0.0588493346924435 3.42570248903940e-05 15.6861122846603 13.4679813623428 247.531967163086 266.955017089844 0.62985179901123 271.393127441406 999 0 8030
2 10 0.0122141228777776 0.00955722288665245 4.03755424486008e-05 14.4283613681793 32.8840800285339 248.090209960938 265.227600097656 0.806880950927734 271.274383544922 999 0 8760
2 11 0 0 2.01682898477884e-05 10.7719766616821 48.4039839744568 240.745193481445 257.308135986328 0.956359481811523 271.250335693359 999 0 730
2 12 0 0 2.81038992397953e-05 12.9259772300720 51.4317889690399 241.657073974609 255.552154541016 0.975041961669922 271.250183105469 999 0 1460
3 1 0 0 1.12032133074536e-05 13.4694749116898 62.0089076519012 241.821441650391 257.85498046875 0.990314331054687 271.250152587891 999 0 2190
3 2 0.00430138136533036 0.00355434275002422 2.18418039366952e-05 14.4452973008156 64.4742075920105 235.934875488281 250.648498535156 0.978439483642578 271.250213623047 999 0 2920
3 3 0.0256374020707928 0.0167212650829073 1.64706230862066e-05 12.6024324297905 54.5074413299561 239.992996215820 254.776885986328 0.985519104003906 271.250183105469 999 0 3650
3 4 0.167058759213619 0.0751957980375689 5.89087030675728e-06 10.7995181679726 67.9103374481201 244.863555908203 260.308166503906 0.98395896911621 271.250152587891 999 0 4380
3 5 0.530056973185691 0.352836200727132 1.91799799722503e-05 10.2712650537491 41.1838531017303 248.372970581055 267.348327636719 0.966550903320312 271.250122070312 999 0 5110
3 6 1.14058043997709 0.908226243320105 1.62243326485623e-05 11.4083453893662 26.6268270492554 254.353134155273 276.651245117188 0.946117935180664 271.250061035156 999 0 5840
3 7 1.21998408501563 0.819626005818463 4.52255702839466e-05 13.9152942657471 15.4250607252121 259.009674072266 278.129760742188 0.841348724365234 271.250152587891 999 0 6570
3 8 0.598915167596904 0.358689248739361 4.18657826230628e-05 16.3851366043091 12.9877470493317 254.688903808594 274.301818847656 0.70591178894043 271.253601074219 999 0 7300
3 9 0.0836107539502332 0.0626460659629237 4.14585956605151e-05 15.4898918390274 14.192356133461 247.826477050781 266.873504638672 0.74336181640625 271.254089355469 999 0 8030
3 10 0.0125909359088549 0.00987895600500438 3.48434503393946e-05 11.3094166755676 25.8973594665527 248.120956420898 265.194000244141 0.88585823059082 271.250305175781 999 0 8760
3 11 0 0 1.91515977348899e-05 11.8968036055565 69.8777667045593 240.462249755859 256.794952392578 0.950307846069336 271.250183105469 999 0 730
3 12 0 0 2.45670798904030e-05 13.1808943510056 54.9721150398254 241.820266723633 255.571121215820 0.970859451293945 271.250213623047 999 0 1460
