#CELL TS OHair1 OHair2 precip stwet stdry tair1 tair2 perc8 tocean tland runoff6water tspe
1 1 0 0 9.42616798056406e-06 14.8468620300293 63.0689064025879 241.817749023438 259.12744140625 0.991432647705078 271.250183105469 999 0 2190
1 2 0.00413531127671098 0.00344318650404165 2.47618101639091e-05 16.2577311635017 89.113590335846 236.092926025391 249.126342773438 0.984856567382812 271.250274658203 999 0 2920
1 3 0.0249533040190734 0.0167352149703514 2.95320543955313e-05 12.9923992276192 50.2544114112854 243.839950561523 260.469085693359 0.990595626831055 271.250152587891 999 0 3650
1 4 0.161359233772203 0.0750784418416112 1.73360807821155e-05 13.3333934187889 76.7938797950745 242.173385620117 259.025207519531 0.984216232299805 271.250152587891 999 0 4380
1 5 0.511695157054009 0.339159406317723 2.06607675863779e-05 10.9424181699753 37.2672213077545 251.134933471680 269.948944091797 0.968730926513672 271.250030517578 999 0 5110
1 6 1.11742473395393 0.851201465334626 2.09673487916007e-05 12.0063642263412 20.5912427186966 254.96728515625 275.245635986328 0.886538925170898 271.250091552734 999 0 5840
1 7 1.21184665067328 0.788618875050019 3.69773257261841e-05 14.1920199394226 14.8649736404419 257.454467773438 276.54931640625 0.73754150390625 271.250244140625 999 0 6570
1 8 0.599186415408315 0.355190705539113 5.55622544197831e-05 17.4481560707092 15.9209528207779 253.839263916016 272.101806640625 0.535313873291016 271.276733398438 999 0 7300
1 9 0.0809508646975129 0.0616393121812489 3.24711654684506e-05 15.5993737697601 14.3273110151291 253.084381103516 272.067138671875 0.472939300537109 271.414276123047 999 0 8030
1 10 0.0120405796351703 0.00931453913048334 5.12785845785402e-05 13.9580391407013 31.6330024719238 246.843399047852 264.970703125 0.676473541259766 271.292663574219 999 0 8760
1 11 0 0 3.77327971364139e-05 13.6221613407135 51.0998189926147 240.865066528320 261.021087646484 0.903626861572266 271.250305175781 999 0 730
1 12 0 0 4.25318197812885e-05 13.5151733636856 55.3315108776093 239.936218261719 257.954284667969 0.965317611694336 271.250274658203 999 0 1460
2 1 0 0 1.00114319138811e-05 14.6818506717682 64.651487827301 241.642532348633 258.016235351562 0.988849182128906 271.250152587891 999 0 2190
2 2 0.0042699941185813 0.0035636426749869 2.38012948102551e-05 14.4763659238815 60.2329040050507 236.759490966797 249.423599243164 0.98126838684082 271.250305175781 999 0 2920
2 3 0.0254253305676259 0.0168142643325342 2.9157137760194e-05 12.7044592857361 46.787596988678 243.658737182617 259.792083740234 0.98901954650879 271.250152587891 999 0 3650
2 4 0.163944391485044 0.0762003375513955 2.41986166656716e-05 15.1124269962311 91.8692206382752 242.057693481445 258.080139160156 0.977535018920898 271.250183105469 999 0 4380
2 5 0.518005820421546 0.344702456831196 2.11607808523695e-05 9.78418451547623 33.5086967468262 250.783248901367 269.818115234375 0.970207824707031 271.250030517578 999 0 5110
2 6 1.12560091798362 0.876850067910285 2.13310628168983e-05 12.4320477724075 21.6074025392532 254.726196289062 275.110382080078 0.901176071166992 271.250061035156 999 0 5840
2 7 1.21158093853149 0.803587325704245 3.46817090758122e-05 15.4237208366394 16.8415175914764 256.936279296875 276.055267333984 0.792493515014648 271.250183105469 999 0 6570
2 8 0.595250554308036 0.356408552855655 7.61869094276335e-05 16.5790516853333 15.301633143425 253.517578125 271.954284667969 0.629977569580078 271.250518798828 999 0 7300
2 9 0.0814031289055197 0.0588493346924435 3.00651892757742e-05 15.6861122846603 13.4679813623428 252.851715087891 271.410339355469 0.584832916259766 271.271087646484 999 0 8030
2 10 0.0122141228777776 0.00955722288665245 4.78388839837862e-05 14.4283613681793 32.8840800285339 246.340591430664 263.9609375 0.81008674621582 271.252777099609 999 0 8760
2 11 0 0 4.25832407927373e-05 10.7719766616821 48.4039839744568 240.961151123047 260.266845703125 0.929435958862305 271.250244140625 999 0 730
2 12 0 0 3.85104609449627e-05 12.9259772300720 51.4317889690399 240.035659790039 257.668365478516 0.975860137939453 271.250244140625 999 0 1460
3 1 0 0 1.36940431730181e-05 13.4694749116898 62.0089076519012 241.589965820312 257.294464111328 0.986885528564453 271.250244140625 999 0 2190
3 2 0.00430138136533036 0.00355434275002422 2.26857191591989e-05 14.4452973008156 64.4742075920105 237.749053955078 250.353561401367 0.980159912109375 271.250244140625 999 0 2920
3 3 0.0256374020707928 0.0167212650829073 3.00955540296854e-05 12.6024324297905 54.5074413299561 243.185134887695 258.598297119141 0.987085342407227 271.250183105469 999 0 3650
3 4 0.167058759213619 0.0751957980375689 1.98371604710701e-05 10.7995181679726 67.9103374481201 241.854385375977 257.456390380859 0.975524291992187 271.250183105469 999 0 4380
3 5 0.530056973185691 0.352836200727132 2.6456958403287e-05 10.2712650537491 41.1838531017303 250.279357910156 269.674224853516 0.971815948486328 271.250030517578 999 0 5110
3 6 1.14058043997709 0.908226243320105 2.51479228609242e-05 11.4083453893662 26.6268270492554 254.599273681641 274.592987060547 0.90388656616211 271.250061035156 999 0 5840
3 7 1.21998408501563 0.819626005818463 2.59352307693916e-05 13.9152942657471 15.4250607252121 256.453857421875 275.571899414062 0.801648712158203 271.250152587891 999 0 6570
3 8 0.598915167596904 0.358689248739361 8.03766495664604e-05 16.3851366043091 12.9877470493317 253.414733886719 272.111206054688 0.672982025146484 271.250335693359 999 0 7300
3 9 0.0836107539502332 0.0626460659629237 2.93030778266257e-05 15.4898918390274 14.192356133461 252.366760253906 270.578765869141 0.691917037963867 271.250244140625 999 0 8030
3 10 0.0125909359088549 0.00987895600500438 4.43004078988452e-05 11.3094166755676 25.8973594665527 245.785202026367 263.4326171875 0.864484481811523 271.250518798828 999 0 8760
3 11 0 0 3.4733313441393e-05 11.8968036055565 69.8777667045593 240.96484375 259.835296630859 0.932200775146484 271.250152587891 999 0 730
3 12 0 0 3.01582153042546e-05 13.1808943510056 54.9721150398254 240.035324096680 257.226989746094 0.978566284179687 271.250274658203 999 0 1460
4 1 0 0 1.35287428747688e-05 13.6389612674713 79.9152970314026 241.709777832031 256.801879882812 0.981625213623047 271.250335693359 249.784790039062 0 2190
4 2 0.00428660112744323 0.00344938645401677 2.35685938605457e-05 13.9590556144714 73.6446523666382 238.677627563477 251.75244140625 0.977076263427734 271.250335693359 247.154144287109 0 2920
4 3 0.0250836690386396 0.0159729901680526 3.24189881212078e-05 11.1157606601715 46.6018075942993 242.760498046875 258.006805419922 0.983060455322266 271.250244140625 251.564361572266 0 3650
4 4 0.168304284878265 0.075276249769389 1.28988993310486e-05 11.1493965148926 87.611318397522 241.744842529297 257.111755371094 0.974083862304687 271.250244140625 253.855010986328 0 4380
4 5 0.535509607762027 0.359818525341973 2.54519518421148e-05 11.4383146047592 44.5482649803162 249.495223999023 269.037078857422 0.974393768310547 271.250061035156 266.548278808594 0 5110
4 6 1.15741994696309 0.933358183397836 2.83313172985800e-05 10.1571063637733 28.0434319972992 254.418502807617 273.940185546875 0.91744125366211 271.250061035156 274.121887207031 0 5840
4 7 1.21915373457253 0.814407714589401 2.57076751950081e-05 13.1294930219650 17.1093920946121 256.359069824219 275.724212646484 0.777919540405273 271.250183105469 274.512451171875 0 6570
4 8 0.591486298965997 0.349854320024811 7.24557903595269e-05 17.6650846958160 16.3095359563828 253.389572143555 272.327911376953 0.619188079833984 271.252624511719 274.106811523438 0 7300
4 9 0.0840270363057058 0.0634122026384211 3.06543715851149e-05 16.4906532764435 20.0235424280167 251.737640380859 269.986236572266 0.61967903137207 271.270599365234 268.570495605469 0 8030
4 10 0.012932542081145 0.0100913042916524 5.20058620168129e-05 11.7963566303253 32.9037369728088 245.611648559570 263.523712158203 0.826028442382812 271.250793457031 264.256408691406 0 8760
4 11 0 0 2.71973833150696e-05 11.6436031699181 56.5796310424805 240.854187011719 259.405700683594 0.933640518188477 271.250213623047 257.574951171875 0 730
4 12 0 0 2.54734435657156e-05 11.0081171989441 60.8337714195251 240.034103393555 256.6796875 0.980372772216797 271.250366210938 251.115051269531 0 1460
5 1 0 0 1.54786903294735e-05 10.5488670825958 56.9855701446533 241.862518310547 257.209686279297 0.974287033081055 271.250701904297 249.784790039062 1.88093585151705e-09 2190
5 2 0.00490986217003174 0.00346643631644836 2.05240197828971e-05 12.8961129069328 65.9978392601013 238.930496215820 252.459762573242 0.968451614379883 271.250427246094 247.154144287109 2.10011341650329e-09 2920
5 3 0.0253090815055923 0.0154032590506957 3.06902828015154e-05 12.5916104316711 47.3255065917969 242.308044433594 257.601318359375 0.983847579956055 271.250396728516 251.564361572266 1.73853809126712e-09 3650
5 4 0.16684176096449 0.0765664298356408 1.52771071952884e-05 10.8179875254631 87.6283728599548 241.954940795898 256.86279296875 0.985049743652344 271.250244140625 253.855010986328 8.71704397553685e-09 4380
5 5 0.517020471229071 0.345152691293675 2.14983816476888e-05 10.5781841039658 39.2007558822632 248.650421142578 268.208984375 0.984022827148437 271.250061035156 266.548278808594 7.87506337474042e-07 5110
5 6 1.14609950258887 0.916507605072591 2.25202011279180e-05 11.5194981336594 28.3979621887207 254.167800903320 273.425445556641 0.940609588623047 271.250061035156 274.121887207031 2.21084701479413e-06 5840
5 7 1.19733766059757 0.771059731013331 2.41088009715895e-05 13.8219603300095 20.8434971094131 256.451599121094 276.247406005859 0.78321159362793 271.250213623047 274.512451171875 5.87418291786435e-08 6570
5 8 0.577580696878935 0.328124971540569 5.08218330651289e-05 17.1107857704163 17.9030571699142 253.379638671875 272.489532470703 0.565827713012695 271.259368896484 274.106811523438 4.84553368096385e-07 7300
5 9 0.0850229032704599 0.0589718575133804 3.38766796630807e-05 15.9863824367523 23.2096497058868 251.241378784180 269.512756347656 0.520516395568848 271.303955078125 268.570495605469 6.6161099709916e-08 8030
5 10 0.0133181568269192 0.00961036531501065 6.6591941867955e-05 11.9143682003021 34.6974967002869 245.936309814453 264.174835205078 0.720072555541992 271.251190185547 264.256408691406 1.95634584088111e-08 8760
5 11 0 0 2.51378694883897e-05 12.4380181789398 54.1704068660736 240.828628540039 259.576690673828 0.938014450073242 271.250274658203 257.574951171875 1.46219847341200e-09 730
5 12 0 0 2.7505002435646e-05 10.6025143027306 58.7247210502625 240.295104980469 256.783538818359 0.981091842651367 271.250457763672 251.115051269531 7.00962310418163e-09 1460
6 1 0 0 1.23088166219532e-05 14.1838861584663 69.8618628501892 241.841186523438 256.90380859375 0.9503076171875 271.251068115234 247.019805908203 7.31947125132137e-09 2190
6 2 0.00466025882683682 0.00335948717937748 1.58782992002671e-05 12.5355077266693 57.1368794441223 238.706405639648 251.813232421875 0.973222351074219 271.250640869141 243.504592895508 5.70003955147058e-09 2920
6 3 0.0240668772427194 0.0148496182797029 1.97868264876888e-05 17.796519947052 49.670268535614 241.807113647461 256.195098876953 0.984733428955078 271.250427246094 247.40234375 7.96902810407119e-09 3650
6 4 0.161691373949441 0.079954259643476 2.1294763610058e-05 13.4298634767532 80.6459628105164 242.247573852539 256.668182373047 0.99071189880371 271.250305175781 251.516693115234 1.08567457246522e-08 4380
6 5 0.494158155695804 0.345160072186503 1.94633848877857e-05 15.0302053451538 43.4163318634033 247.970169067383 267.357696533203 0.985512466430664 271.250122070312 263.192993164062 4.58793556390447e-06 5110
6 6 1.1007125473692 0.898254657110115 2.96107984468108e-05 15.8001086950302 25.9612513542175 253.888275146484 273.132080078125 0.94427848815918 271.250091552734 273.985076904297 1.94753215509991e-06 5840
6 7 1.15425354394008 0.762342896584021 1.35739642246335e-05 15.9977771997452 22.8482429504395 256.353179931641 277.481048583984 0.722876892089844 271.25341796875 278.470489501953 2.24399809845011e-09 6570
6 8 0.56081868926762 0.330073527247036 3.71881829778431e-05 21.2900074958801 24.8506293296814 253.232879638672 273.11328125 0.407365455627441 271.438293457031 274.618804931641 2.36453701063510e-08 7300
