#CELL TS OHair1 OHair2 precip stwet stdry tair1 tair2 perc8 tocean tland runoff6water tspe
1 1 0 0 1.15845334221376e-05 14.8468620300293 63.0689064025879 237.207138061523 251.492218017578 0.991245956420898 271.250122070312 999 0 2190
1 2 0.00413531127671098 0.00344318650404165 2.71277676802129e-05 16.2577311635017 89.113590335846 237.023818969727 249.852203369141 0.97987159729004 271.250244140625 999 0 2920
1 3 0.0249533040190734 0.0167352149703514 3.63477825885639e-05 12.9923992276192 50.2544114112854 238.259536743164 252.706741333008 0.945955963134766 271.250549316406 999 0 3650
1 4 0.161359233772203 0.0750784418416112 2.16990480112145e-05 13.3333934187889 76.7938797950745 243.022476196289 259.965942382812 0.969051513671875 271.250244140625 999 0 4380
1 5 0.511695157054009 0.339159406317723 2.62958064922714e-05 10.9424181699753 37.2672213077545 248.232040405273 266.392944335938 0.967010879516602 271.250061035156 999 0 5110
1 6 1.11742473395393 0.851201465334626 5.50352619029582e-05 12.0063642263412 20.5912427186966 254.930206298828 274.306060791016 0.92449821472168 271.250061035156 999 0 5840
1 7 1.21184665067328 0.788618875050019 3.89080643799389e-05 14.1920199394226 14.8649736404419 255.02099609375 273.265167236328 0.75531608581543 271.250213623047 999 0 6570
1 8 0.599186415408315 0.355190705539113 6.2843495834386e-05 17.4481560707092 15.9209528207779 254.059814453125 271.764892578125 0.608904190063477 271.250366210938 999 0 7300
1 9 0.0809508646975129 0.0616393121812489 6.41515965980943e-05 15.5993737697601 14.3273110151291 248.841644287109 266.613342285156 0.643151016235352 271.250457763672 999 0 8030
1 10 0.0120405796351703 0.00931453913048334 3.17063331749523e-05 13.9580391407013 31.6330024719238 244.283157348633 262.339050292969 0.857683410644531 271.250671386719 999 0 8760
1 11 0 0 1.70085317222402e-05 13.6221613407135 51.0998189926147 238.534378051758 254.737350463867 0.96446273803711 271.250152587891 999 0 730
1 12 0 0 1.90353724974557e-05 13.5151733636856 55.3315108776093 236.28271484375 251.453598022461 0.98690299987793 271.250335693359 999 0 1460
2 1 0 0 1.54239083713037e-05 14.6818506717682 64.651487827301 237.070938110352 251.283859252930 0.988770065307617 271.250213623047 999 0 2190
2 2 0.0042699941185813 0.0035636426749869 2.30324303629459e-05 14.4763659238815 60.2329040050507 236.749526977539 249.397216796875 0.979933624267578 271.250244140625 999 0 2920
2 3 0.0254253305676259 0.0168142643325342 3.81644880690146e-05 12.7044592857361 46.787596988678 238.164108276367 252.58642578125 0.958219299316406 271.250579833984 999 0 3650
2 4 0.163944391485044 0.0762003375513955 2.20804622586002e-05 15.1124269962311 91.8692206382752 242.207061767578 258.564208984375 0.963333587646484 271.250335693359 999 0 4380
2 5 0.518005820421546 0.344702456831196 2.60298676948878e-05 9.78418451547623 33.5086967468262 248.844360351562 267.435913085938 0.964206237792969 271.250091552734 999 0 5110
2 6 1.12560091798362 0.876850067910285 4.85542434034869e-05 12.4320477724075 21.6074025392532 254.682159423828 274.091186523438 0.925969772338867 271.250061035156 999 0 5840
2 7 1.21158093853149 0.803587325704245 4.95807678817073e-05 15.4237208366394 16.8415175914764 255.213317871094 273.586181640625 0.771602020263672 271.250183105469 999 0 6570
2 8 0.595250554308036 0.356408552855655 6.40026999462862e-05 16.5790516853333 15.301633143425 253.355133056641 270.837341308594 0.616665306091309 271.250366210938 999 0 7300
2 9 0.0814031289055197 0.0588493346924435 5.37819316377863e-05 15.6861122846603 13.4679813623428 249.018890380859 266.735778808594 0.646300964355469 271.250427246094 999 0 8030
2 10 0.0122141228777776 0.00955722288665245 2.78101986623369e-05 14.4283613681793 32.8840800285339 244.384475708008 262.197723388672 0.86858741760254 271.250640869141 999 0 8760
2 11 0 0 1.83170875970973e-05 10.7719766616821 48.4039839744568 238.943069458008 255.380981445312 0.957952270507813 271.250274658203 999 0 730
2 12 0 0 2.01086277229479e-05 12.9259772300720 51.4317889690399 236.546585083008 251.669692993164 0.98360855102539 271.250335693359 999 0 1460
3 1 0 0 1.31772652821383e-05 13.4694749116898 62.0089076519012 236.625167846680 251.208328247070 0.985685195922852 271.250396728516 999 0 2190
3 2 0.00430138136533036 0.00355434275002422 2.11574428249151e-05 14.4452973008156 64.4742075920105 236.482345581055 249.196182250977 0.98216697692871 271.250305175781 999 0 2920
3 3 0.0256374020707928 0.0167212650829073 3.66954383935081e-05 12.6024324297905 54.5074413299561 237.960189819336 251.980392456055 0.973372497558594 271.250427246094 999 0 3650
3 4 0.167058759213619 0.0751957980375689 2.51314226261457e-05 10.7995181679726 67.9103374481201 241.778457641602 257.797241210938 0.950651550292969 271.250579833984 999 0 4380
3 5 0.530056973185691 0.352836200727132 3.05739347822964e-05 10.2712650537491 41.1838531017303 249.314041137695 267.969055175781 0.963342742919922 271.250122070312 999 0 5110
3 6 1.14058043997709 0.908226243320105 4.4261500806897e-05 11.4083453893662 26.6268270492554 254.595825195312 274.280639648438 0.915031204223633 271.250061035156 999 0 5840
3 7 1.21998408501563 0.819626005818463 5.63062072615139e-05 13.9152942657471 15.4250607252121 255.636093139648 274.365478515625 0.778424301147461 271.250183105469 999 0 6570
3 8 0.598915167596904 0.358689248739361 6.26804743660614e-05 16.3851366043091 12.9877470493317 252.711090087891 270.5048828125 0.628926124572754 271.250305175781 999 0 7300
3 9 0.0836107539502332 0.0626460659629237 3.07244423311204e-05 15.4898918390274 14.192356133461 249.122619628906 267.129089355469 0.662713394165039 271.250366210938 999 0 8030
