#CELL TS OHair1 OHair2 precip stwet stdry tair1 tair2 perc8 tocean tland runoff6water tspe
1 1 0 0 1.44028141221497e-05 14.8468620300293 63.0689064025879 233.501113891602 248.204971313477 0.983619079589844 271.250183105469 999 0 2190
1 2 0.00413531127671098 0.00344318650404165 1.44906636705855e-05 16.2577311635017 89.113590335846 237.121307373047 253.055450439453 0.99130142211914 271.250122070312 999 0 2920
1 3 0.0249533040190734 0.0167352149703514 2.12672670386382e-05 12.9923992276192 50.2544114112854 237.184127807617 250.443069458008 0.978310012817383 271.250213623047 999 0 3650
1 4 0.161359233772203 0.0750784418416112 2.67252627963899e-05 13.3333934187889 76.7938797950745 242.959625244141 258.479187011719 0.963110122680664 271.250213623047 999 0 4380
1 5 0.511695157054009 0.339159406317723 2.81191896647215e-05 10.9424181699753 37.2672213077545 244.729217529297 263.823516845703 0.941216430664062 271.250122070312 999 0 5110
1 6 1.11742473395393 0.851201465334626 4.09602456784341e-05 12.0063642263412 20.5912427186966 251.843429565430 272.109466552734 0.912922134399414 271.250122070312 999 0 5840
1 7 1.21184665067328 0.788618875050019 4.82550258311676e-05 14.1920199394226 14.8649736404419 254.236190795898 273.875518798828 0.829413146972656 271.250244140625 999 0 6570
1 8 0.599186415408315 0.355190705539113 4.64157546957722e-05 17.4481560707092 15.9209528207779 250.618484497070 269.773162841797 0.771529541015625 271.250305175781 999 0 7300
1 9 0.0809508646975129 0.0616393121812489 4.48346330813365e-05 15.5993737697601 14.3273110151291 248.141845703125 266.202117919922 0.770445556640625 271.25048828125 999 0 8030
1 10 0.0120405796351703 0.00931453913048334 2.57787969530909e-05 13.9580391407013 31.6330024719238 243.086547851562 261.267700195312 0.897270812988281 271.250579833984 999 0 8760
1 11 0 0 2.73099152764189e-05 13.6221613407135 51.0998189926147 237.066558837891 252.899383544922 0.939899368286133 271.250366210938 999 0 730
1 12 0 0 3.17904010444181e-05 13.5151733636856 55.3315108776093 237.303588867188 249.496688842773 0.978986511230469 271.250274658203 999 0 1460
2 1 0 0 1.84001470188377e-05 14.6818506717682 64.651487827301 233.915237426758 248.425537109375 0.981886291503906 271.250213623047 999 0 2190
2 2 0.0042699941185813 0.0035636426749869 1.01261485724535e-05 14.4763659238815 60.2329040050507 236.937240600586 252.127807617188 0.990377578735352 271.250213623047 999 0 2920
2 3 0.0254253305676259 0.0168142643325342 2.10061183679500e-05 12.7044592857361 46.787596988678 236.827346801758 249.683059692383 0.97899787902832 271.250213623047 999 0 3650
2 4 0.163944391485044 0.0762003375513955 2.19069093873259e-05 15.1124269962311 91.8692206382752 243.397323608398 259.353118896484 0.968779907226562 271.250183105469 999 0 4380
2 5 0.518005820421546 0.344702456831196 4.15550726756919e-05 9.78418451547623 33.5086967468262 245.184768676758 264.81689453125 0.935955963134766 271.250152587891 999 0 5110
2 6 1.12560091798362 0.876850067910285 3.82780759537127e-05 12.4320477724075 21.6074025392532 251.798233032227 272.062377929688 0.918954620361328 271.250122070312 999 0 5840
2 7 1.21158093853149 0.803587325704245 4.93300638481742e-05 15.4237208366394 16.8415175914764 254.086776733398 273.825927734375 0.852854843139648 271.250244140625 999 0 6570
2 8 0.595250554308036 0.356408552855655 4.98290293762693e-05 16.5790516853333 15.301633143425 250.471771240234 269.591918945312 0.734925003051758 271.250335693359 999 0 7300
2 9 0.0814031289055197 0.0588493346924435 4.9189706260222e-05 15.6861122846603 13.4679813623428 247.831954956055 265.877502441406 0.751253509521484 271.250518798828 999 0 8030
2 10 0.0122141228777776 0.00955722288665245 2.45807348619564e-05 14.4283613681793 32.8840800285339 243.363418579102 261.279388427734 0.906049346923828 271.250671386719 999 0 8760
2 11 0 0 2.76504546491196e-05 10.7719766616821 48.4039839744568 236.553024291992 252.57080078125 0.946875534057617 271.250396728516 999 0 730
2 12 0 0 3.29795442667091e-05 12.9259772300720 51.4317889690399 238.344009399414 250.444458007812 0.97541404724121 271.250549316406 999 0 1460
3 1 0 0 1.81179568244261e-05 13.4694749116898 62.0089076519012 234.221801757812 248.742462158203 0.98120132446289 271.250213623047 999 0 2190
3 2 0.00430138136533036 0.00355434275002422 1.02607509688823e-05 14.4452973008156 64.4742075920105 236.762634277344 251.429977416992 0.98977310180664 271.250213623047 999 0 2920
3 3 0.0256374020707928 0.0167212650829073 1.98514326257282e-05 12.6024324297905 54.5074413299561 236.381652832031 249.289932250977 0.980480270385742 271.250213623047 999 0 3650
3 4 0.167058759213619 0.0751957980375689 1.65324821864488e-05 10.7995181679726 67.9103374481201 243.439697265625 259.377044677734 0.973362274169922 271.250183105469 999 0 4380
3 5 0.530056973185691 0.352836200727132 5.26655308931367e-05 10.2712650537491 41.1838531017303 245.865341186523 266.041961669922 0.938283004760742 271.250122070312 999 0 5110
3 6 1.14058043997709 0.908226243320105 3.37995104928268e-05 11.4083453893662 26.6268270492554 251.735961914062 272.144439697266 0.917028121948242 271.250122070312 999 0 5840
3 7 1.21998408501563 0.819626005818463 4.14448473748053e-05 13.9152942657471 15.4250607252121 254.014633178711 273.867340087891 0.852260513305664 271.250213623047 999 0 6570
3 8 0.598915167596904 0.358689248739361 4.61409003037261e-05 16.3851366043091 12.9877470493317 250.689712524414 269.943054199219 0.781225051879883 271.250305175781 999 0 7300
3 9 0.0836107539502332 0.0626460659629237 3.98283547838219e-05 15.4898918390274 14.192356133461 247.248046875 265.282257080078 0.812669677734375 271.250396728516 999 0 8030
3 10 0.0125909359088549 0.00987895600500438 2.15130368815153e-05 11.3094166755676 25.8973594665527 243.576812744141 261.3037109375 0.917589721679688 271.250549316406 999 0 8760
3 11 0 0 2.24812400119845e-05 11.8968036055565 69.8777667045593 236.214080810547 252.151199340820 0.954272766113281 271.250152587891 999 0 730
3 12 0 0 2.2847250875202e-05 13.1808943510056 54.9721150398254 238.913787841797 251.285308837891 0.974670791625977 271.250335693359 999 0 1460
4 1 0 0 1.13140435132664e-05 13.6389612674713 79.9152970314026 234.231384277344 248.760391235352 0.980613250732422 271.250427246094 240.513534545898 0 2190
4 2 0.00428660112744323 0.00344938645401677 1.25617110825260e-05 13.9590556144714 73.6446523666382 236.679779052734 250.798782348633 0.988082427978516 271.25048828125 241.470458984375 0 2920
